Date,Top 10 tickers,Top 10 stock indices
2001-03-30,"GE, MSFT, XOM, PFE, WMT, C, AIG, INTC, TWX, MRK","9, 20, 31, 22, 30, 6, 1, 12, 26, 19"
2001-04-02,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, MRK, TWX","9, 20, 31, 22, 6, 30, 1, 12, 19, 26"
2001-04-03,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, MRK, IBM","9, 20, 31, 22, 6, 30, 1, 12, 19, 11"
2001-04-04,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, MRK, IBM","9, 20, 31, 22, 6, 30, 1, 12, 19, 11"
2001-04-05,"GE, MSFT, XOM, PFE, WMT, C, AIG, MRK, IBM, INTC","9, 20, 31, 22, 30, 6, 1, 19, 11, 12"
2001-04-06,"GE, MSFT, XOM, PFE, C, WMT, AIG, MRK, INTC, IBM","9, 20, 31, 22, 6, 30, 1, 19, 12, 11"
2001-04-09,"GE, MSFT, XOM, PFE, WMT, C, AIG, MRK, IBM, TWX","9, 20, 31, 22, 30, 6, 1, 19, 11, 26"
2001-04-10,"GE, MSFT, XOM, PFE, WMT, C, MRK, AIG, TWX, IBM","9, 20, 31, 22, 30, 6, 19, 1, 26, 11"
2001-04-11,"GE, MSFT, XOM, PFE, C, WMT, MRK, AIG, IBM, TWX","9, 20, 31, 22, 6, 30, 19, 1, 11, 26"
2001-04-12,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, MRK, TWX","9, 20, 31, 22, 6, 30, 12, 1, 19, 26"
2001-04-16,"GE, MSFT, XOM, PFE, C, WMT, INTC, MRK, AIG, TWX","9, 20, 31, 22, 6, 30, 12, 19, 1, 26"
2001-04-17,"GE, MSFT, XOM, PFE, C, WMT, TWX, MRK, AIG, INTC","9, 20, 31, 22, 6, 30, 26, 19, 1, 12"
2001-04-18,"GE, MSFT, XOM, PFE, C, WMT, TWX, MRK, AIG, INTC","9, 20, 31, 22, 6, 30, 26, 19, 1, 12"
2001-04-19,"GE, MSFT, XOM, PFE, C, WMT, INTC, TWX, AIG, IBM","9, 20, 31, 22, 6, 30, 12, 26, 1, 11"
2001-04-20,"GE, MSFT, XOM, C, PFE, WMT, INTC, TWX, IBM, AIG","9, 20, 31, 6, 22, 30, 12, 26, 11, 1"
2001-04-23,"GE, MSFT, XOM, PFE, C, WMT, INTC, TWX, IBM, AIG","9, 20, 31, 22, 6, 30, 12, 26, 11, 1"
2001-04-24,"GE, MSFT, XOM, PFE, C, WMT, INTC, TWX, IBM, AIG","9, 20, 31, 22, 6, 30, 12, 26, 11, 1"
2001-04-25,"GE, MSFT, XOM, PFE, C, WMT, TWX, INTC, IBM, AIG","9, 20, 31, 22, 6, 30, 26, 12, 11, 1"
2001-04-26,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, INTC, AIG","9, 20, 31, 22, 6, 30, 26, 11, 12, 1"
2001-04-27,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, INTC, AIG","9, 20, 31, 22, 6, 30, 26, 11, 12, 1"
2001-04-30,"GE, MSFT, XOM, PFE, C, WMT, TWX, INTC, IBM, AIG","9, 20, 31, 22, 6, 30, 26, 12, 11, 1"
2001-05-01,"GE, MSFT, XOM, PFE, C, WMT, TWX, INTC, IBM, AIG","9, 20, 31, 22, 6, 30, 26, 12, 11, 1"
2001-05-02,"GE, MSFT, XOM, PFE, C, WMT, TWX, INTC, IBM, AIG","9, 20, 31, 22, 6, 30, 26, 12, 11, 1"
2001-05-03,"GE, MSFT, XOM, PFE, C, WMT, TWX, INTC, IBM, AIG","9, 20, 31, 22, 6, 30, 26, 12, 11, 1"
2001-05-04,"GE, MSFT, XOM, PFE, C, WMT, TWX, INTC, IBM, AIG","9, 20, 31, 22, 6, 30, 26, 12, 11, 1"
2001-05-07,"GE, MSFT, XOM, PFE, C, WMT, TWX, INTC, IBM, AIG","9, 20, 31, 22, 6, 30, 26, 12, 11, 1"
2001-05-08,"GE, MSFT, XOM, PFE, C, WMT, TWX, INTC, IBM, AIG","9, 20, 31, 22, 6, 30, 26, 12, 11, 1"
2001-05-09,"GE, MSFT, XOM, PFE, C, WMT, TWX, INTC, IBM, AIG","9, 20, 31, 22, 6, 30, 26, 12, 11, 1"
2001-05-10,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, INTC, AIG","9, 20, 31, 22, 6, 30, 26, 11, 12, 1"
2001-05-11,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, INTC, AIG","9, 20, 31, 22, 6, 30, 26, 11, 12, 1"
2001-05-14,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, AIG, INTC","9, 20, 31, 22, 6, 30, 26, 11, 1, 12"
2001-05-15,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, AIG, INTC","9, 20, 31, 22, 6, 30, 26, 11, 1, 12"
2001-05-16,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, AIG, INTC","9, 20, 31, 22, 6, 30, 26, 11, 1, 12"
2001-05-17,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, AIG, INTC","9, 20, 31, 22, 6, 30, 26, 11, 1, 12"
2001-05-18,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, AIG, INTC","9, 20, 31, 22, 6, 30, 26, 11, 1, 12"
2001-05-21,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, AIG, INTC","9, 20, 31, 22, 6, 30, 26, 11, 1, 12"
2001-05-22,"GE, MSFT, XOM, PFE, C, TWX, WMT, IBM, INTC, AIG","9, 20, 31, 22, 6, 26, 30, 11, 12, 1"
2001-05-23,"GE, MSFT, XOM, PFE, C, TWX, WMT, IBM, INTC, AIG","9, 20, 31, 22, 6, 26, 30, 11, 12, 1"
2001-05-24,"GE, MSFT, XOM, PFE, C, TWX, WMT, IBM, INTC, AIG","9, 20, 31, 22, 6, 26, 30, 11, 12, 1"
2001-05-25,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, INTC, AIG","9, 20, 31, 22, 6, 30, 26, 11, 12, 1"
2001-05-29,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, INTC, AIG","9, 20, 31, 22, 6, 30, 26, 11, 12, 1"
2001-05-30,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, AIG, INTC","9, 20, 31, 22, 6, 30, 26, 11, 1, 12"
2001-05-31,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, AIG, INTC","9, 20, 31, 22, 6, 30, 26, 11, 1, 12"
2001-06-01,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, AIG, INTC","9, 20, 31, 22, 6, 30, 26, 11, 1, 12"
2001-06-04,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, INTC, AIG","9, 20, 31, 22, 6, 30, 26, 11, 12, 1"
2001-06-05,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, INTC, AIG","9, 20, 31, 22, 6, 30, 26, 11, 12, 1"
2001-06-06,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, INTC, AIG","9, 20, 31, 22, 6, 30, 26, 11, 12, 1"
2001-06-07,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, INTC, AIG","9, 20, 31, 22, 6, 30, 26, 11, 12, 1"
2001-06-08,"GE, MSFT, XOM, PFE, C, WMT, TWX, INTC, IBM, AIG","9, 20, 31, 22, 6, 30, 26, 12, 11, 1"
2001-06-11,"GE, MSFT, XOM, PFE, C, WMT, TWX, INTC, IBM, AIG","9, 20, 31, 22, 6, 30, 26, 12, 11, 1"
2001-06-12,"GE, MSFT, XOM, PFE, C, WMT, TWX, INTC, IBM, AIG","9, 20, 31, 22, 6, 30, 26, 12, 11, 1"
2001-06-13,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, INTC, AIG","9, 20, 31, 22, 6, 30, 26, 11, 12, 1"
2001-06-14,"GE, MSFT, XOM, PFE, C, WMT, TWX, IBM, INTC, AIG","9, 20, 31, 22, 6, 30, 26, 11, 12, 1"
