Ticker,StockMatrixIndex,DatasetColumnIndex
AAPL,0,2
AIG,1,3
AMZN,2,4
AVGO,3,5
BAC,4,6
BRK-B,5,7
C,6,8
CSCO,7,9
CVX,8,10
GE,9,11
GOOGL,10,12
IBM,11,13
INTC,12,14
JNJ,13,15
JPM,14,16
KO,15,17
LLY,16,18
META,17,19
MO,18,20
MRK,19,21
MSFT,20,22
NVDA,21,23
PFE,22,24
PG,23,25
T,24,26
TSLA,25,27
TWX,26,28
UNH,27,29
V,28,30
WFC,29,31
WMT,30,32
XOM,31,33
HD,32,34
MA,33,35
ORCL,34,36
VZ,35,37
