Phase,Days,Share,AverageEntropy,MeanEntropyMVOReturn
Bullish,2084,0.3872166480862133,0.7076065600890283,0.0006929990907330177
Neutral,1634,0.30360460795243405,0.7518801795671258,0.0007498539843620537
Bearish,1664,0.30917874396135264,0.7800002048150627,0.00034222593576608055
